Unnamed: 0,Year,State,Never smoked,Smokers
309,2004,Illinois,0.562,0.438
310,2007,Illinois,0.564,0.436
311,1997,Missouri,0.4970000000000001,0.503
312,1995,Louisiana,0.527,0.473
313,2002,Ohio,0.487,0.513
314,2006,Mississippi,0.5379999999999999,0.462
315,2001,California,0.569,0.431
316,2006,West Virginia,0.496,0.504
317,2005,Pennsylvania,0.51,0.49
318,2002,Illinois,0.5429999999999999,0.457
319,1998,Illinois,0.519,0.481
320,2008,Minnesota,0.5539999999999999,0.446
321,2008,California,0.627,0.373
322,2009,South Dakota,0.5529999999999999,0.447
323,2001,North Dakota,0.531,0.469
324,2007,Alaska,0.507,0.493
325,1996,Ohio,0.502,0.498
326,2010,Maine,0.516,0.484
327,2007,South Carolina,0.531,0.469
328,1998,New Jersey,0.545,0.455
329,1995,Oklahoma,0.612,0.388
330,2000,New Jersey,0.5660000000000001,0.434
331,1996,Washington,0.4970000000000001,0.503
332,2007,Montana,0.539,0.461
333,2003,Alabama,0.508,0.4920000000000001
334,2005,Alabama,0.5429999999999999,0.457
335,1999,California,0.5489999999999999,0.451
336,2007,Washington,0.57,0.43
337,2001,Indiana,0.5,0.5
338,1998,Wyoming,0.52,0.48
339,2009,California,0.639,0.361
340,1996,Wyoming,0.503,0.4970000000000001
341,1999,Ohio,0.484,0.516
342,2009,New York,0.557,0.443
343,2008,Wisconsin,0.535,0.465
344,1995,Kentucky,0.501,0.499
345,1998,Hawaii,0.544,0.456
346,2003,Wyoming,0.491,0.509
347,2008,Ohio,0.544,0.456
348,2002,Michigan,0.487,0.513
349,2005,District of Columbia,0.585,0.415
350,2003,Nebraska,0.547,0.453
351,2008,North Dakota,0.565,0.435
352,2000,Massachusetts,0.519,0.481
353,2008,Wyoming,0.552,0.448
354,1998,Nevada,0.456,0.544
355,1997,District of Columbia,0.654,0.3459999999999999
356,2010,Iowa,0.604,0.396
357,2006,Oregon,0.5579999999999999,0.442
358,2006,New York,0.573,0.4270000000000001
359,1997,Alabama,0.5329999999999999,0.467
360,1996,Kentucky,0.452,0.5479999999999999
361,1996,Delaware,0.49,0.51
362,1995,Nebraska,0.525,0.475
363,1998,North Carolina,0.519,0.481
364,1995,Virginia,0.535,0.465
365,2002,Georgia,0.5429999999999999,0.457
366,1997,Mississippi,0.556,0.444
367,2003,District of Columbia,0.5579999999999999,0.442
368,2006,Nebraska,0.575,0.425
369,1999,North Dakota,0.531,0.469
370,2006,South Dakota,0.5479999999999999,0.452
371,2005,Texas,0.59,0.41
372,1999,Arkansas,0.4970000000000001,0.503
373,2008,Massachusetts,0.5579999999999999,0.442
374,1999,Indiana,0.51,0.49
375,2008,Illinois,0.5529999999999999,0.447
376,2004,Connecticut,0.519,0.481
377,1999,Wyoming,0.512,0.488
378,2003,South Carolina,0.515,0.485
379,1998,Mississippi,0.54,0.46
380,1999,Tennessee,0.544,0.456
381,2004,Oklahoma,0.514,0.486
382,2010,North Carolina,0.5579999999999999,0.442
383,1996,Oklahoma,0.575,0.425
384,2006,District of Columbia,0.6,0.4
385,2005,Iowa,0.5479999999999999,0.452
386,2003,New Hampshire,0.478,0.522
387,2010,Colorado,0.593,0.407
388,2007,Michigan,0.541,0.459
389,2007,Kansas,0.588,0.412
390,2010,Utah,0.7659999999999999,0.2340000000000001
391,2000,Missouri,0.481,0.519
392,2003,Louisiana,0.527,0.473
393,2009,Florida,0.5529999999999999,0.447
394,1997,Connecticut,0.493,0.507
395,1997,Nebraska,0.552,0.448
396,1997,South Dakota,0.499,0.501
397,2006,Illinois,0.5579999999999999,0.442
398,2004,Arkansas,0.498,0.502
399,2000,Rhode Island,0.499,0.501
400,2005,Colorado,0.5539999999999999,0.446
401,2002,North Carolina,0.4970000000000001,0.503
402,1997,Tennessee,0.517,0.483
403,1996,New Mexico,0.53,0.47
404,1997,Illinois,0.51,0.49
405,2000,Florida,0.494,0.506
406,1995,Maine,0.481,0.519
407,2010,Tennessee,0.57,0.43
408,1998,Delaware,0.51,0.49
409,2001,Wisconsin,0.478,0.522
410,2002,Minnesota,0.514,0.486
411,2010,Oklahoma,0.52,0.48
412,1998,Minnesota,0.634,0.366
413,2009,Alaska,0.513,0.487
414,2000,District of Columbia,0.5710000000000001,0.429
415,1995,Oregon,0.499,0.501
416,2002,Colorado,0.54,0.46
417,2003,Arizona,0.53,0.47
418,1996,New York,0.531,0.469
419,2000,Ohio,0.506,0.494
420,2001,Kansas,0.535,0.465
421,2006,Wisconsin,0.532,0.468
422,1999,Virginia,0.5329999999999999,0.467
423,2003,New Mexico,0.521,0.479
424,2000,Arkansas,0.504,0.496
425,2007,New Hampshire,0.504,0.496
426,2008,Iowa,0.5660000000000001,0.434
427,2001,Kentucky,0.455,0.545
428,1999,Washington,0.508,0.4920000000000001
429,2010,Indiana,0.537,0.463
430,2010,Wyoming,0.5589999999999999,0.441
431,2008,Delaware,0.537,0.463
432,2003,Connecticut,0.502,0.498
433,2003,New Jersey,0.5429999999999999,0.457
434,2009,Ohio,0.5379999999999999,0.462
435,2006,Rhode Island,0.52,0.48
436,1996,Pennsylvania,0.523,0.477
437,1999,South Carolina,0.56,0.44
438,1997,Vermont,0.477,0.523
439,1998,West Virginia,0.483,0.517
440,1996,Arizona,0.512,0.488
441,1998,California,0.546,0.454
442,1999,District of Columbia,0.633,0.3670000000000001
443,1998,New Hampshire,0.482,0.518
444,2001,Alaska,0.469,0.531
445,1999,Nevada,0.395,0.605
446,1996,Montana,0.513,0.487
447,2001,Maine,0.442,0.5579999999999999
448,2002,Florida,0.529,0.471
449,2001,South Dakota,0.525,0.475
450,2005,Massachusetts,0.545,0.455
451,1997,Oklahoma,0.563,0.4370000000000001
452,2005,Ohio,0.519,0.481
453,2004,Pennsylvania,0.534,0.466
454,1995,Washington,0.502,0.498
455,2010,Florida,0.53,0.47
456,2008,District of Columbia,0.612,0.388
457,2008,Hawaii,0.5920000000000001,0.408
458,2010,West Virginia,0.488,0.512
459,2008,Georgia,0.591,0.409
460,2002,Maine,0.431,0.569
461,1996,Arkansas,0.5670000000000001,0.433
462,2003,Hawaii,0.586,0.414
463,2007,Virginia,0.58,0.42
464,2007,South Dakota,0.5589999999999999,0.441
465,2006,Utah,0.736,0.2640000000000001
466,1997,Virginia,0.498,0.502
467,1995,Pennsylvania,0.48,0.52
468,2001,Massachusetts,0.506,0.494
469,1995,Minnesota,0.561,0.439
470,1995,Arizona,0.517,0.483
471,2003,Colorado,0.542,0.458
472,1995,Florida,0.485,0.515
473,2006,Nevada,0.523,0.477
474,2007,Delaware,0.5489999999999999,0.451
475,2000,Arizona,0.597,0.403
476,2007,Massachusetts,0.551,0.449
477,2005,California,0.615,0.385
478,2004,Texas,0.593,0.407
479,2001,West Virginia,0.471,0.529
480,2008,Rhode Island,0.545,0.455
481,2007,Nebraska,0.562,0.438
482,2003,Illinois,0.522,0.478
483,2002,Wyoming,0.498,0.502
484,1996,Missouri,0.475,0.525
485,1995,New York,0.534,0.466
486,1998,Indiana,0.48,0.52
487,2003,Kentucky,0.467,0.5329999999999999
488,1999,Connecticut,0.519,0.481
489,1999,Michigan,0.513,0.487
490,2006,Indiana,0.527,0.473
491,2001,Iowa,0.532,0.468
492,2002,Montana,0.527,0.473
493,2000,New York,0.529,0.471
494,1999,Pennsylvania,0.536,0.464
495,1999,Georgia,0.537,0.463
496,2009,Idaho,0.616,0.384
497,1997,North Carolina,0.518,0.482
498,2004,Alabama,0.5429999999999999,0.457
499,1997,Nevada,0.466,0.534
500,1995,Colorado,0.511,0.489
501,1995,New Mexico,0.517,0.483
502,1998,South Carolina,0.546,0.454
503,2003,South Dakota,0.52,0.48
504,2003,Oregon,0.524,0.476
505,2003,Iowa,0.5379999999999999,0.462
506,1998,North Dakota,0.518,0.482
507,2002,North Dakota,0.52,0.48
508,2010,South Carolina,0.5489999999999999,0.451
509,2006,Delaware,0.509,0.491
510,2002,Indiana,0.491,0.509
511,2003,Mississippi,0.5379999999999999,0.462
512,1995,South Dakota,0.542,0.458
513,1996,Mississippi,0.557,0.443
514,1998,Utah,0.6709999999999999,0.3290000000000001
515,2003,Tennessee,0.5539999999999999,0.446
516,2009,Illinois,0.583,0.417
517,1998,Nebraska,0.535,0.465
518,2005,Oregon,0.54,0.46
519,1999,Arizona,0.621,0.379
520,1998,Wisconsin,0.472,0.528
521,2009,Vermont,0.513,0.487
522,2003,Wisconsin,0.507,0.493
523,2010,Oregon,0.5670000000000001,0.433
524,2003,Arkansas,0.498,0.502
525,2001,Idaho,0.56,0.44
526,2006,North Carolina,0.539,0.461
527,2004,Ohio,0.52,0.48
528,1997,Florida,0.5,0.5
529,1997,Wisconsin,0.515,0.485
530,2003,Florida,0.493,0.507
531,2009,Arizona,0.578,0.422
532,2003,Minnesota,0.506,0.494
533,2005,Kansas,0.578,0.422
534,2004,Colorado,0.556,0.444
535,1999,Missouri,0.482,0.518
536,2008,Colorado,0.575,0.425
537,1998,Connecticut,0.509,0.491
538,1996,California,0.564,0.436
539,2006,Iowa,0.5479999999999999,0.452
540,2009,North Carolina,0.535,0.465
541,2010,New Hampshire,0.524,0.476
542,2005,New Hampshire,0.501,0.499
543,2005,Hawaii,0.568,0.4320000000000001
544,2005,Nebraska,0.561,0.439
545,2002,Kansas,0.536,0.464
546,1995,West Virginia,0.511,0.489
547,2004,Georgia,0.591,0.409
548,2007,Utah,0.725,0.275
549,2009,Kentucky,0.491,0.509
550,1997,Maine,0.463,0.537
551,2006,Colorado,0.5760000000000001,0.424
552,2008,New Hampshire,0.519,0.481
553,1998,Oklahoma,0.565,0.435
554,2000,Mississippi,0.56,0.44
555,2007,New Mexico,0.544,0.456
556,2009,Minnesota,0.568,0.4320000000000001
557,2004,North Carolina,0.556,0.444
558,2010,Delaware,0.56,0.44
559,2003,Idaho,0.5760000000000001,0.424
560,1998,Washington,0.511,0.489
561,2004,Utah,0.738,0.262
562,2007,Kentucky,0.479,0.521
563,1995,Massachusetts,0.484,0.516
564,2009,Delaware,0.534,0.466
565,2000,Alaska,0.468,0.532
566,2001,Louisiana,0.5539999999999999,0.446
567,2008,Kentucky,0.495,0.505
568,1996,West Virginia,0.505,0.495
569,2010,Hawaii,0.602,0.398
570,2001,Minnesota,0.495,0.505
571,2000,North Dakota,0.534,0.466
572,1999,Florida,0.526,0.474
573,2001,Oklahoma,0.495,0.505
574,2000,Virginia,0.5529999999999999,0.447
575,1998,Montana,0.518,0.482
576,1997,Oregon,0.489,0.511
577,2004,New Mexico,0.556,0.444
578,2002,Maryland,0.544,0.456
579,2000,Utah,0.688,0.3120000000000001
580,2008,New York,0.578,0.422
581,2002,New Jersey,0.55,0.45
582,2004,New Hampshire,0.498,0.502
583,2009,Pennsylvania,0.537,0.463
584,1997,Hawaii,0.5489999999999999,0.451
585,2003,Washington,0.542,0.458
586,1999,South Dakota,0.524,0.476
587,2006,Tennessee,0.539,0.461
588,2000,Wisconsin,0.488,0.512
589,2008,Louisiana,0.597,0.403
590,1998,Arizona,0.609,0.391
591,1997,Massachusetts,0.498,0.502
592,1999,Kansas,0.564,0.436
593,1996,Vermont,0.467,0.5329999999999999
594,2006,Kansas,0.5589999999999999,0.441
595,2002,West Virginia,0.474,0.526
596,2005,Arizona,0.5429999999999999,0.457
597,2008,Kansas,0.59,0.41
598,2003,Rhode Island,0.485,0.515
599,2000,Indiana,0.505,0.495
600,2000,Connecticut,0.523,0.477
601,2003,Georgia,0.556,0.444
602,1995,Maryland,0.583,0.417
603,2004,Wyoming,0.534,0.466
604,1999,Kentucky,0.471,0.529
605,1999,Hawaii,0.586,0.414
606,2008,Idaho,0.612,0.388
607,2009,Missouri,0.521,0.479
608,2006,Missouri,0.5,0.5
609,2008,Maine,0.501,0.499
610,2009,District of Columbia,0.606,0.394
611,2010,Texas,0.629,0.371
612,2007,Idaho,0.583,0.417
613,1996,Michigan,0.485,0.515
614,2001,Connecticut,0.505,0.495
615,1996,Georgia,0.6559999999999999,0.3440000000000001
616,2002,Massachusetts,0.52,0.48
617,1996,Illinois,0.518,0.482
618,2008,Pennsylvania,0.5329999999999999,0.467
619,2005,Alaska,0.512,0.488
620,2004,California,0.611,0.389
621,1998,Virginia,0.539,0.461
622,1996,North Dakota,0.512,0.488
623,1997,California,0.546,0.454
624,2004,Minnesota,0.525,0.475
625,2009,Arkansas,0.504,0.496
626,2008,Oregon,0.59,0.41
627,2010,Minnesota,0.5920000000000001,0.408
628,2000,Wyoming,0.511,0.489
629,2006,Louisiana,0.564,0.436
630,2002,Nebraska,0.544,0.456
631,2000,Washington,0.505,0.495
632,2002,Virginia,0.53,0.47
633,2009,Colorado,0.574,0.426
634,1995,Alabama,0.5479999999999999,0.452
635,2000,Hawaii,0.562,0.438
636,2003,Massachusetts,0.499,0.501
637,2002,Hawaii,0.547,0.453
638,1999,Alabama,0.523,0.477
